id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
26726334,456c0d1a-1274-4e0d-bcb6-0be329dbf458,Sun Jan 13 2019 14:16:02 GMT-0500 (GMT-5),2019-01-13,2019-01-13 19:16:02 UTC,Bogota,623533,macu13,Mauricio Ramirez,2019-06-10 03:41:49 UTC,2019-06-20 02:08:41 UTC,research,,https://www.inaturalist.org/observations/26726334,https://static.inaturalist.org/photos/41516581/medium.jpg,,"",,2,0,false,3,"Florencia, CO-CQ, CO",1.8451214596,-75.7197416732,1696,,,,1696,,open,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
28065944,bbd19740-3411-4563-badd-b9559b7c4c00,2013/02/25 3:23 PM EST,2013-02-25,2013-02-25 20:23:00 UTC,Eastern Time (US & Canada),1501126,stephen220,Stephen John Davies,2019-07-02 16:56:53 UTC,2023-02-18 19:54:49 UTC,research,CC0,https://www.inaturalist.org/observations/28065944,https://inaturalist-open-data.s3.amazonaws.com/photos/43724237/medium.jpg,,"Animalia, Animals, Birds, Grayish Saltator, Saltator coerulescens, Tanagers, Thraupidae, Vertebrates",,2,0,false,,"Zamora, Zamora Chinchipe, Ecuador",-4.0138408417,-78.8842943267,,,,,,,open,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
29739017,54a30d02-07c9-41c6-b23a-e702adaba19f,2014/01/05 4:24 PM -03,2014-01-05,,Buenos Aires,1368063,goncrisdi,Gonzalo Diaz,2019-07-28 21:07:03 UTC,2020-03-06 20:15:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/29739017,https://inaturalist-open-data.s3.amazonaws.com/photos/46426058/medium.jpeg,,"",,1,0,false,,"Ceibas, Entre Rios, Argentina",-33.5007183,-58.8045578,1498,,,,1498,,open,false,,,Saltador Gris,Saltator coerulescens,Saltador Gris,Aves,9850
31248753,2cbf183a-a188-4727-9660-f9c612adcd28,2014/02/10 2:49 PM -03,2014-02-10,,Buenos Aires,1368063,goncrisdi,Gonzalo Diaz,2019-08-21 19:09:19 UTC,2019-08-21 20:35:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/31248753,https://inaturalist-open-data.s3.amazonaws.com/photos/48884974/medium.jpeg,,"",,1,0,false,,"Esteros del Iberá, Col. Carlos Pellegrini, Corrientes, Argentina",-28.5349398,-57.1727167,199,,,,199,,open,false,,,Saltador Gris,Saltator coerulescens,Saltador Gris,Aves,9850
31249155,30916657-9a6b-429f-86c9-4671a59bf0f4,2014/02/11 5:42 PM -03,2014-02-11,,Buenos Aires,1368063,goncrisdi,Gonzalo Diaz,2019-08-21 19:16:49 UTC,2019-08-21 20:18:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/31249155,https://inaturalist-open-data.s3.amazonaws.com/photos/48886176/medium.jpeg,,"",,1,0,false,,"Esteros del Iberá, Col. Carlos Pellegrini, Corrientes, Argentina",-28.5349398,-57.1727167,199,,,,199,,open,false,,,Saltador Gris,Saltator coerulescens,Saltador Gris,Aves,9850
31249205,27f23032-87b4-47b5-93ac-2354c5f3a54e,2014/02/08 1:56 PM -03,2014-02-08,,Buenos Aires,1368063,goncrisdi,Gonzalo Diaz,2019-08-21 19:17:12 UTC,2019-08-21 20:37:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/31249205,https://inaturalist-open-data.s3.amazonaws.com/photos/48888414/medium.jpeg,,"","",1,0,false,,"Esteros del Iberá, Col. Carlos Pellegrini, Corrientes, Argentina",-28.5349398,-57.1727167,199,,,,199,,open,false,,,Saltador Gris,Saltator coerulescens,Saltador Gris,Aves,9850
33429500,b9600dcc-e06e-4a08-a601-8edd9e7067f5,2018/01/28 10:04 AM -0300,2018-01-28,2018-01-28 13:04:00 UTC,Buenos Aires,1454648,r-a-p,RAP,2019-09-26 15:22:33 UTC,2024-11-07 20:16:31 UTC,research,CC-BY,https://www.inaturalist.org/observations/33429500,https://inaturalist-open-data.s3.amazonaws.com/photos/52504066/medium.jpg,,"",,1,0,false,,"Ceibas, Entre Ríos, Argentina",-33.5007183,-58.8045578,1498,,,,1498,,open,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
37383268,8223b6e6-a443-427e-9d64-5f555ab78319,2015/01/16 11:42 AM -0300,2015-01-16,2015-01-16 13:42:00 UTC,Brasilia,2452235,nelsonatencio,Nelson Atencio,2020-01-07 23:24:31 UTC,2023-10-08 01:35:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/37383268,https://inaturalist-open-data.s3.amazonaws.com/photos/59253939/medium.jpeg,,"",,1,0,false,,"Salta, Argentina",-24.7909159017,-65.3921179936,190,,,,190,,open,false,,,Saltador Gris,Saltator coerulescens,Saltador Gris,Aves,9850
37595763,4db8937b-93be-4826-9b7d-d67ef4ee4ca7,2018/01/18 5:55 PM -0300,2018-01-18,2018-01-18 20:55:00 UTC,Buenos Aires,110716,adrianbraidotti,Adrian Braidotti,2020-01-14 21:17:34 UTC,2025-08-10 16:33:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37595763,https://inaturalist-open-data.s3.amazonaws.com/photos/59628511/medium.jpeg,,"",,1,0,false,,Bialet Masse Córdoba Argentina,-31.3289164844,-64.4630685465,31,,,,31,,open,false,,,Saltador Gris,Saltator coerulescens,Saltador Gris,Aves,9850
38016079,508fa3be-6cba-42f3-a30c-ee8a1ee17480,2013/01/14 8:18 AM MST,2013-01-14,2013-01-14 15:18:00 UTC,Mountain Time (US & Canada),122831,chartuso,Christian Artuso,2020-01-27 04:37:44 UTC,2022-12-03 23:56:29 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/38016079,https://inaturalist-open-data.s3.amazonaws.com/photos/60356885/medium.jpg,,"",,2,0,false,,"Southern Pantanal, Mato Grosso do Sul, Brazil",-19.2590575936,-57.2351815344,3333,,,,3333,,open,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
